Emotion,Text
fear,force heartache amp regret mind sorry could ever enough stockholm insomnia anxiety depression
fear,nevertheless maeve sharp eye missed nothing husband looked exhausted troubled felt agitated
joy,one hour club tomorrow lt
joy,select inspect letter sound quot annoy quot way weigh
surprise,ok colin show driving semi
joy,ok call back done
joy,send amp future call forth today
joy,new delux edition feel break
sadness,lunch today consisted starbucks taco bell reason belly hurt
sadness,bby give back name plate frown sad andry pouting
anger,knuckle hurt damn bad need control
sadness,curse phone telling product phone frown sad andry pouting iphone
sadness,moment realize actually get moving side walk airport firstworldproblems
sadness,tired great dismay still feeling bit still find earring stud great dismay
joy,time finish page amp amp study exam tomorrow
fear,sonny alarmed deathly pallor face jumped trap driven furiously village doctor
joy,today welcome new baby boy family family
sadness,felt sad argument boyfriend felt understand point carrying relationship
joy,hot water bottle
joy,way great way start day threw everywhere still volunteer
sadness,great think replace ref complaint person sad true
joy,god refuge amp strength present help time trouble time afraid trust psalm
sadness,sitting looking episode season true blood missed last season frown sad andry pouting
joy,hearing xmas music get spirit
joy,finally got fish back tank something look
sadness,wait tomorrow afternoon buy stuff work morning
sadness,grandfather death
joy,could convince time anything bad could happen finally solved eating problem short time felt jubilant relieved ecstatic
fear,mysterious ticking noise somewhere bed puppet pal kind scared
fear,laughing loud absolutely many need detail time culture
joy,bank let borrow money winter grant spent
anger,look offended tell perceived man man
anger,come growing irish annoyance continued failure british ensure ruc accompanies udr operation
sadness,college coach new catholic priest
fear,friend crossing street one friend seized car thrown aside seen car coming direction enough time react prevent accident
fear,oh hate teeth pulled hurt
fear,average adult spends four year life suffering hangover today ha ha
joy,sunrise sunrise look like morning eye beautiful morning happy thursday smile
joy,hello sunshine begin today wake thankful earth nature amp around amp aware joy shine gratitude
sadness,let u hope purchased two one mom work mine much
disgust,mean watch say able play wed replaced phone lost data
joy,often like comparing child parent
surprise,coming home dad cleaning room hope see baby stuff desk grandpa laughing loud
sadness,swear almost guy friend bad thing
joy,cooking thanksgiving dinner year
joy,promise god side find smiling reason
sadness,another week fantasy team
joy,meeting old friend high school
surprise,came nowhere rt whoa quot anna reaction slap ek hi mara quot via
fear,weather bad fog report many traffic accident boyfriend driving home still kilometer go
joy,christmas music day
joy,want keep going wink smirk however must get rest tonight gave caleb kiss stinking face love son
sadness,pic last night make want cry amp go hard diet haha
sadness,first time left home
joy,nightmare pure commonwealth stadium sure hope see matt quot quot basketball game tonight
disgust,hate watching fat old lady munch sunflower seed
sadness,dude thought going call
joy,lovely night revision ahead sound lovely
joy,unexpectedly received birthday greeting person like
anger,argue boyfriend feel though feel superior
joy,cooky taste like thanks recipe
fear,brightoned also putting getting eye test know ill need glass
joy,sleep back school tomorrow
joy,absolutely delighted achieved set beginning week ensure ryder cup stayed side atlantic
anger,letter fucking bullshit mean really fuck
anger,french homework answer text
sadness,spring soon come rt final cult meeting
surprise,found roll film develop idea picture took
joy,grimace donal murmured gloomily exactly ecstatic explanation
sadness,wanted pregnant succeed depressed every
surprise,put teddy raffle prize blind school yer daft twat yer
anger,like drug passed mother unborn baby blessing curse
sadness,really hoping would pas examination failed felt sad
fear,time open heart love love
joy,exhausted yayyy monday going collins get told date get brace
fear,george felt anxious opportunity alone tamar chance warning groom
fear,one day little boy friend asked play outside catch boy however parent know got home late feared scolded parent
joy,wonderful morning rejoice glad
joy,god joy overwhelming much overwhelming final week let u focus week give
sadness,hate nose clogged reason eating make want cry taste fucking food
